DataValue,LocalDateTime,UTCOffset,DateTimeUTC,SiteCode,VariableCode,MethodCode,SourceCode,QualityControlLevelCode,QualifierCode
17.2,1994-09-14T17:00:00Z,-8,1994-09-15T01:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
16.5,1994-09-14T17:15:00Z,-8,1994-09-15T01:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
15.9,1994-09-14T17:30:00Z,-8,1994-09-15T01:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
15.4,1994-09-14T17:45:00Z,-8,1994-09-15T01:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
14.9,1994-09-14T18:00:00Z,-8,1994-09-15T02:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
14.3,1994-09-14T18:15:00Z,-8,1994-09-15T02:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
13.9,1994-09-14T18:30:00Z,-8,1994-09-15T02:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
13.4,1994-09-14T18:45:00Z,-8,1994-09-15T02:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
13,1994-09-14T19:00:00Z,-8,1994-09-15T03:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
12.7,1994-09-14T19:15:00Z,-8,1994-09-15T03:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
12.5,1994-09-14T19:30:00Z,-8,1994-09-15T03:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
12.2,1994-09-14T19:45:00Z,-8,1994-09-15T03:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
12,1994-09-14T20:00:00Z,-8,1994-09-15T04:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
11.8,1994-09-14T20:15:00Z,-8,1994-09-15T04:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
11.6,1994-09-14T20:30:00Z,-8,1994-09-15T04:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
11.4,1994-09-14T20:45:00Z,-8,1994-09-15T04:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
11.2,1994-09-14T21:00:00Z,-8,1994-09-15T05:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
11,1994-09-14T21:15:00Z,-8,1994-09-15T05:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
10.8,1994-09-14T21:30:00Z,-8,1994-09-15T05:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
10.7,1994-09-14T21:45:00Z,-8,1994-09-15T05:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
10.5,1994-09-14T22:00:00Z,-8,1994-09-15T06:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
10.3,1994-09-14T22:15:00Z,-8,1994-09-15T06:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
10.1,1994-09-14T22:30:00Z,-8,1994-09-15T06:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
9.9,1994-09-14T22:45:00Z,-8,1994-09-15T06:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
9.8,1994-09-14T23:00:00Z,-8,1994-09-15T07:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
9.6,1994-09-14T23:15:00Z,-8,1994-09-15T07:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
9.5,1994-09-14T23:30:00Z,-8,1994-09-15T07:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
9.4,1994-09-14T23:45:00Z,-8,1994-09-15T07:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
9.2,1994-09-15T00:00:00Z,-8,1994-09-15T08:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
9,1994-09-15T00:15:00Z,-8,1994-09-15T08:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
8.8,1994-09-15T00:30:00Z,-8,1994-09-15T08:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
8.7,1994-09-15T00:45:00Z,-8,1994-09-15T08:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
8.6,1994-09-15T01:00:00Z,-8,1994-09-15T09:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
8.5,1994-09-15T01:15:00Z,-8,1994-09-15T09:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
8.4,1994-09-15T01:30:00Z,-8,1994-09-15T09:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
8.3,1994-09-15T01:45:00Z,-8,1994-09-15T09:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
8.1,1994-09-15T02:00:00Z,-8,1994-09-15T10:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
8,1994-09-15T02:15:00Z,-8,1994-09-15T10:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
7.9,1994-09-15T02:30:00Z,-8,1994-09-15T10:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
7.7,1994-09-15T02:45:00Z,-8,1994-09-15T10:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
7.6,1994-09-15T03:00:00Z,-8,1994-09-15T11:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
7.5,1994-09-15T03:15:00Z,-8,1994-09-15T11:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
7.4,1994-09-15T03:30:00Z,-8,1994-09-15T11:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
7.2,1994-09-15T03:45:00Z,-8,1994-09-15T11:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
7.2,1994-09-15T04:00:00Z,-8,1994-09-15T12:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
7.1,1994-09-15T04:15:00Z,-8,1994-09-15T12:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
7,1994-09-15T04:30:00Z,-8,1994-09-15T12:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
6.9,1994-09-15T04:45:00Z,-8,1994-09-15T12:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
6.8,1994-09-15T05:00:00Z,-8,1994-09-15T13:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
6.7,1994-09-15T05:15:00Z,-8,1994-09-15T13:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
6.6,1994-09-15T05:30:00Z,-8,1994-09-15T13:30:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
6.5,1994-09-15T05:45:00Z,-8,1994-09-15T13:45:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
6.5,1994-09-15T06:00:00Z,-8,1994-09-15T14:00:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
6.4,1994-09-15T06:15:00Z,-8,1994-09-15T14:15:00Z,PRIMET,AIRTEMP_MEAN,AIR023,AND,1,A
